különböző, sokféle, más-más, eltérő 	verschieden
hegyes, éles 	grell, herb, scharf
tizenhat 	sechzehn
között 	unter, mitten unter, zwischen
nadrág 	Hose
másmilyen, másik 	anderer, anders, sonst
köszönöm, kösz 	danke
cikk 	Abhandlung, Artikel
szél 	Wind
betegség 	Krankheit, Erkrankung
gyerta 	Kerze, Licht
tanul 	lernen
választék 	Auslese, Wahl
angol 	englisch; Engländer
szekrény 	Schrank
pék 	Bäcker
mos 	spülen, waschen
fáradt 	matt, müde
hír 	Neues, Neuheit, Neuigkeit
alap, bázis 	Basis, Grundlage
eléggé 	genug, genügend, hinlänglich, ziemlich
negyven 	vierzig
csókol 	küssen
gép 	Maschine
osztrák 	österreichisch; Österreicher
megszűnik 	aufhören
puha 	weich
meleg 	warm
szendvics 	Sandwich
fésű 	Kamm
gyár 	Fabrik
hold 	Mond
reggel 	Frühe, Morgen
határoz, dönt 	beschließen, entscheiden, sich entschließen
ló 	Gaul, Pferd
eleinte 	erst, erstens, zuerst
igen 	ja, doch; sehr
elfelejt 	vergessen
ügyvéd 	Advokat, Anwalt, Rechtsanwalt
paradicsom 	Tomate
mindenütt, mindenhol 	allenthalben, allerorten, überall
szomjas 	durstig
bárd 	Barde, Sänger
tizennégy 	vierzehn
megrongál, rongál 	beschädigen, Schaden zufügen, verderben, verletzen
szisztéma 	System
kör 	Kreis
tipikus 	typisch
öv 	Gurt, Gürtel
ül 	sitzen
veszélyes 	besorglich, gefährlich
lepcső 	Stiege, Treppe
húsvét 	Ostern
haj 	Haar
szerda 	Mittwoch
alvás 	Schlaf
honnan 	woher
leül 	sich setzen
katona 	Soldat
alig 	kaum
svájci 	Schweizer
csinos 	hübsch
tizenhárom 	dreizehn
szürke 	grau
blúz 	Bluse
beszélgetés 	Gespräch, Konversation, Unterhaltung
Írország 	Irland
hajó 	Schiff
borjú 	Kalb
gyomor 	Magen
péntek 	Freitag
hús 	Fleisch
igazi 	real, wirklich
bab 	Bohne
irányít 	dirigieren, führen, richten, steuern
hol 	wo
csillag 	Stern
fény 	Licht
hívás 	Ruf
Amerika 	Amerika
kijárat 	Ausgang
helyett 	an Stelle von, statt, anstatt
csónak 	Boot
nemzeti 	national
bámul, csodál 	bewundern
Franciaország 	Frankreich
saláta 	Salat
cél 	Ziel, Zweck
szöglet 	Winkel
flaska, üveg 	Flasche
föld 	Boden, Erdboden, Erde, Grund, Land, Terrain
sikerül 	Erfolg haben, gelingen
matematika 	Mathematik
így, amúgy 	so, auf diese Weise
válasz 	Antwort
ma 	heute
só 	Salz
piros 	rot
állat 	Tier
október 	Oktober
kilencven 	neunzig
utazási iroda 	Reisebüro
reklám, hirdetmény 	Annonce, Anzeige, Inserat
elfárad 	ermatten, ermüden
haz, ház 	Haus
hal 	Fisch
juh 	Hammel, Schaf
múzeum 	Museum
liszt 	Mehl
paszport, útlevél 	Pass, Reisepass
isten, Isten 	Gott
búza 	Weizen
széles 	ausgedehnt, geräumig, weit
fal 	Mauer, Wand
husáng, bot 	Stab, Stock
fekete 	schwarz
asszony, néni 	Frau
hetven 	siebzig
mészáros 	Fleischer
július 	Juli
fül 	Ohr
cím 	Adresse
név 	Name
szőlő 	Traube, Weintraube
úszik 	schwimmen
nagynéni 	Tante
lyuk 	Loch
citrom 	Zitrone
Ausztrália 	Australien
hangzik 	Hall, Klang, Laut, Schall, Ton
most 	jetzt, gegenwärtig, nun
utca 	Straße
változik 	ändern, tauschen, umändern, umtauschen, wechseln, umwechseln
bank 	Bank
jó éjszakát 	Gute Nacht
ajtó 	Tür
alszik 	schlafen; Schlaf
vaj 	Butter
burgonya, krumpli 	Erdapfel, Kartoffel
szomjúság 	Durst
lop 	entwenden, stehlen
énekel 	singen
esernyő 	Regenschirm
érett 	reif
ha 	falls, wenn
dáma, úrhölgy, hölgy 	Dame
pontos, precíz 	akkurat, genau
fejfájás 	Kopfschmerzen
nyilvántartás, adminisztráció 	Verwaltung
néha 	manchmal
pince 	Keller
szombat 	Samstag, Sonnabend; Sabbat
tenger 	Meer, See
hálószoba 	Schlafzimmer
egészég 	Gesundheit
felhő 	Wolke
szeptember 	September
sertés, disznó 	Schwein
gyógyszertár, patika 	Apotheke
vág 	schneiden
művészet 	Kunst
doboz 	Büchse, Schachtel
étlap 	Menü, Speisekarte
zsír 	Fett
kisbaba, bébi, baba 	Baby
